"","id","thread_id","author","author_full","author_followers","author_likes","author_videos","author_avatar","body","timestamp","unix_timestamp","is_duet","is_ad","music_name","music_id","music_url","music_thumbnail","music_author","video_url","tiktok_url","thumbnail_url","likes","comments","shares","plays","hashtags","challenges","diversification_labels","location_created","stickers","effects","warning"
"1","7433066883403762949","7433066883403762949","_brasilacimadetudo","Melhores Momentos",48100,60,68,NA,"Bolsonaro Presidente 2026 🇧🇷🇧🇷🤲 #bolsonaro #politica #fortaleza #22 #direitaconservadora",2024-11-03 14:55:53,1730645753,"no","no","Boundless Worship","7231997808928032770","https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/oY3YziAsoBzi2hWplwLDBgKaIfrJ7OAiCzMC8Q","https://p77-va.tiktokcdn.com/img/tos-useast2a-v-2774/oMIvIADAzKtbFUGPLLF5eEeekkualIAAgyySCJ~c5_720x720.jpeg","Josué Novais Piano Worship","https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-pve-0068/oQkIBio2IizQm2CpEAnuxkiHRkkjsgPexzAWNo/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=1314&bt=657&cs=0&ds=3&ft=4fUEKMXh8Zmo0C8mbb4jVsE_JpWrKsd.&mime_type=video_mp4&qs=0&rc=OWRoZmk5ODk5Zmk3MzczNUBpM2t0N2s5cjtydjMzNzczM0BfYjI0LTEuNTYxXy01NDRiYSNmYWJlMmQ0b2dgLS1kMTZzcw%3D%3D&btag=e00090000&expire=1741785918&l=20250310132340617B8B35F9FCDB0F69A4&ply_type=2&policy=2&signature=d4263e1d271175cf2e9cffee7a62c7e3&tk=tt_chain_token","https://www.tiktok.com/@_brasilacimadetudo/video/7433066883403762949","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/oQ6nM0QJfAEwU7AKADRnfsCCjEBJFEAIu4AIBv~tplv-dmt-logom:tos-useast2a-v-0068/o0AIQEpAR7yEnAjfnAVJA4s3FxQDECFMJGzBKf.image?lk3s=b59d6b55&x-expires=1741784400&x-signature=RvO7Loy%2B%2FTi0e7X82UtkvGFyVis%3D&shp=b59d6b55&shcp=-",249400,11700,19400,1900000,"bolsonaro,politica,fortaleza,22,direitaconservadora","bolsonaro,politica,fortaleza,22,direitaconservadora",NA,NA,"Bolsonaro 2026",NA,NA
"2","7280675633942809862","7280675633942809862","adoradoresnoticias","Adoradores Notícias 🖤",8588,42,27,NA,"Bolsonaro elegível... #fyp #reflexão #bolsonaropresidente #choquei",2023-09-19 22:59:57,1695164397,"no","no","Deserto (Trend)","7133698602332850178","https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/d404eee0733f487bb34df0b330eabfe8","https://p77-va.tiktokcdn.com/img/tos-useast2a-v-2774/16501051a4b245fca682f444cb6838f0~c5_720x720.jpeg","Maria Marçal","https://v16-webapp-prime.tiktok.com/video/tos/maliva/tos-maliva-ve-0068c801-us/oUpURiqnlQJHEbBRTBCeSAaDIangKpA7jQbTfS/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=2362&bt=1181&cs=0&ds=3&ft=4fUEKMXh8Zmo0C8mbb4jVsE_JpWrKsd.&mime_type=video_mp4&qs=0&rc=NDppMzYzOmlnMzo7NzczN0Bpam5vbDs6Zjs1bjMzNzczM0AuYDMwLS01XjYxYV81NjYxYSNubzZmcjRvYTJgLS1kMTZzcw%3D%3D&btag=e000b8000&expire=1741785847&l=20250310132340617B8B35F9FCDB0F69A4&ply_type=2&policy=2&signature=cec61490a40a019e1b412b2e8f1d8efa&tk=tt_chain_token","https://www.tiktok.com/@adoradoresnoticias/video/7280675633942809862","https://p77-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/4d1cca470d6e466188ed3fd549cb8f0a_1695164402?lk3s=b59d6b55&x-expires=1741784400&x-signature=2ffnCEgSq1oCvraK26cFdNrRAwU%3D&shp=b59d6b55&shcp=-",36200,8943,2973,802600,"fyp,reflexão,bolsonaropresidente,choquei","fyp,reflexão,bolsonaropresidente,choquei",NA,NA,NA,NA,NA
"3","7165140440277175558","7165140440277175558","patriaamadabrasilbr","Pátria amada Brasil🇧🇷",12000,569,5,NA,"Obrigado presidente 🇧🇷 #bolsonaro #presidente #patriota #brasil🇧🇷 @BolsonaroMessiasJair",2022-11-12 14:44:25,1668264265,"no","no","Summertime Sadness","6930696979206899714","https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/o8AIWWYOWiZ4BGiTwHro1MEX8AQdUDvw4A1Zz","https://p77-va.tiktokcdn.com/img/tos-useast2a-v-2774/oQAAgCBdiAwTm81lAsWTBAhWh5UEEoAfwzvQYi~c5_720x720.jpeg","Lana Del Rey","https://v16-webapp-prime.tiktok.com/video/tos/maliva/tos-maliva-ve-0068c801-us/oMUREJjA74FOmuuvnBIeAbehbBQBZQbFDsEhQV/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=606&bt=303&cs=0&ds=3&ft=4fUEKMXh8Zmo0C8mbb4jVsE_JpWrKsd.&mime_type=video_mp4&qs=0&rc=N2U1ZjNkO2c1NDtpM2Y0ZkBpMzNtbDU6ZmV1ZzMzNzczM0AvNTBeX2NhXzYxLTRiYWIuYSNrcC5ncjRnL2tgLS1kMTZzcw%3D%3D&btag=e00088000&expire=1741785863&l=20250310132340617B8B35F9FCDB0F69A4&ply_type=2&policy=2&signature=7314ec2eab1391429965f0e091b6d591&tk=tt_chain_token","https://www.tiktok.com/@patriaamadabrasilbr/video/7165140440277175558","https://p77-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/82c31c48f538495abde14cae7cfe7369_1668264268?lk3s=b59d6b55&x-expires=1741784400&x-signature=HnuZkB8kuvHqCVvzBjOSEYYx11g%3D&shp=b59d6b55&shcp=-",116600,3285,11500,673100,"bolsonaro,presidente,patriota,brasil🇧🇷","bolsonaro,presidente,patriota,brasil🇧🇷",NA,NA,NA,NA,NA
"4","7461009074944068869","7461009074944068869","bolsonaro.preside39","@1000%Bolsonaro🇧🇷🇺🇲🇧🇷",23100,1155,40,NA,"Quem apoia o Presidente Bolsonaro deixa o seu SIM e segue o Presidente Bolsonaro 🇧🇷🇧🇷🇧🇷 #bolsonaropresidente #presidentebolsonaro #fyp #ganharseguidores #contaspequenas #mitobolsonaro #amoraprimeravista #esquerdabrasil #policabrasileira #boanoiteeee #boanoitee❤ #boanoitee #lulapresidente #nikolasferreira #mundogospel ##mundocatolico #CapCut",2025-01-17 22:05:53,1737151553,"no","no","Heaven Bryan Adams","7235920798312057626","https://v77.tiktokcdn.com/0aca604794e52b16e96040bebb415be9/67d0399b/video/tos/useast2a/tos-useast2a-v-27dcd7-aiso/5986169158754461ab9669d29d3f4498/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=.NpOcInz7ThVn7OOXq8Zmo&mime_type=audio_mpeg&qs=13&rc=M3dyNmU6ZmxsazMzZjU8M0BpM3dyNmU6ZmxsazMzZjU8M0BlZGFscjRfY2lgLS1kMWNzYSNlZGFscjRfY2lgLS1kMWNzcw%3D%3D&vvpl=1&l=20250310132340617B8B35F9FCDB0F69A4&btag=e00050000&cc=13&download=true","https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/80850bd429c340e4db42ef86242dc871~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=90dba0c5&x-expires=1741784400&x-signature=nhVFSPEY3ZNsTV4zb7hsFzG39F0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=b59d6b55&idc=maliva","SR CABALLERO","https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c004/os14KUu3ZB6srjSECZSAQGnNE61TiPBIBQ0iE/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=1338&bt=669&cs=0&ds=3&ft=4fUEKMXh8Zmo0C8mbb4jVsE_JpWrKsd.&mime_type=video_mp4&qs=0&rc=OjU4ZzRnPGY3OTg3Zjg5NUBpanRkdW45cnRneDMzNzczM0AzLjIuMi0zXzExYTE2YzUvYSMtNC9uMmQ0NDJgLS1kMTZzcw%3D%3D&btag=e000b8000&expire=1741785851&l=20250310132340617B8B35F9FCDB0F69A4&ply_type=2&policy=2&signature=a59c3069d1162b1823311df713a37d6b&tk=tt_chain_token","https://www.tiktok.com/@bolsonaro.preside39/video/7461009074944068869","https://p77-sign-va.tiktokcdn.com/tos-maliva-p-0068/ogeP18jEIfGFLV1IsqLhrIAGCeANQgE8aGAS5A~tplv-dmt-logom:tos-useast2a-v-0068/ocYNEcLBUvAKKi4QAI1CrByAZAE45DUY5iiUc.image?lk3s=b59d6b55&x-expires=1741784400&x-signature=4QiJDHqRDTRcI1S2fGdirpDmnUE%3D&shp=b59d6b55&shcp=-",1415,446,13,5507,"bolsonaropresidente,presidentebolsonaro,fyp,ganharseguidores,contaspequenas,mitobolsonaro,amoraprimeravista,esquerdabrasil,policabrasileira,boanoiteeee,boanoitee❤,boanoitee,lulapresidente,nikolasferreira,mundogospel,mundocatolico,capcut","bolsonaropresidente,presidentebolsonaro,fyp,ganharseguidores,contaspequenas,mitobolsonaro,amoraprimeravista,esquerdabrasil,policabrasileira,boanoiteeee,boanoitee❤,boanoitee,lulapresidente,nikolasferreira,mundogospel,mundocatolico,capcut",NA,NA,"Quem apoia o Presidente Bolsonaro deixa o seu sim e segue o Presidente Bolsonaro 🇧🇷🇧🇷🇧🇷
Quem apoia o Presidente Bolsonaro deixa o seu SIM e segue o Presidente Bolsonaro 🇧🇷🇧🇷🇧🇷",NA,NA
"5","7475108011288186118","7475108011288186118","bolsonaro.preside39","@1000%Bolsonaro🇧🇷🇺🇲🇧🇷",23100,1155,40,NA,"Quem apoia o Presidente Bolsonaro deixa o seu SIM e segue o Bolsonaro 🇧🇷🇧🇷❤️#presidentebolsonaro #bolsonaropresidente #mitobolsonaro #direitabrasil #mundogospel #boanoitee❤ #boanoiteeee #boanoitee #policabrasileira #contaspequenas #ganharseguidores #fyp #michelebolsonaro #eduardobolsonaro #paratii #CapCut",2025-02-24 21:57:01,1740434221,"no","no","Making Love Out of Nothing at All (Every time I see you all the rays of the sun)","7229698619854850050","https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/ocY9IYdiQDgUXfqBRJktqnIBVYOAQT1bgCAeCZ","https://p77-va.tiktokcdn.com/img/tos-useast2a-v-2774/f5ea539ca21c4d59bb9ac0779a75a6b1~c5_720x720.jpeg","Air Supply","https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c002/oEOBC2ofO83nFBAfIs06R6qDQETEJRQ77CvcEi/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=1418&bt=709&cs=0&ds=3&ft=4fUEKMXh8Zmo0C8mbb4jVsE_JpWrKsd.&mime_type=video_mp4&qs=0&rc=PDY7OztoaDg0ZTg7Nzk5N0BpM2RleHk5cmRoeDMzNzczM0BeX2JiMV9gNWExMTIvMTY1YSNxYWxxMmQ0anJgLS1kMTZzcw%3D%3D&btag=e000b8000&expire=1741785851&l=20250310132340617B8B35F9FCDB0F69A4&ply_type=2&policy=2&signature=de8ac5a6620abb069f477966f2fa5115&tk=tt_chain_token","https://www.tiktok.com/@bolsonaro.preside39/video/7475108011288186118","https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/oEnAJP5SoCJIOAFRvBpQblCAAvEGQUfFfs1DEq~tplv-dmt-logom:tos-useast2a-v-0068/ooA8riDiA7XizQyBIyZiEnUKEA0AbO1C6APBm.image?lk3s=b59d6b55&x-expires=1741784400&x-signature=BkbauaSqVnqt607pmbOZfJWwG4I%3D&shp=b59d6b55&shcp=-",7014,1994,117,26500,"presidentebolsonaro,bolsonaropresidente,mitobolsonaro,direitabrasil,mundogospel,boanoitee❤,boanoiteeee,boanoitee,policabrasileira,contaspequenas,ganharseguidores,fyp,michelebolsonaro,eduardobolsonaro,paratii,capcut","presidentebolsonaro,bolsonaropresidente,mitobolsonaro,direitabrasil,mundogospel,boanoitee❤,boanoiteeee,boanoitee,policabrasileira,contaspequenas,ganharseguidores,fyp,michelebolsonaro,eduardobolsonaro,paratii,capcut",NA,NA,"Quem apoia o Presidente Bolsonaro deixa o seu sim e segue o Bolsonaro 🇧🇷🇧🇷❤️
Quem apoia o Presidente Bolsonaro deixa o seu SIM e segue o Bolsonaro 🇧🇷🇧🇷❤️",NA,NA
"6","7458654266048171269","7458654266048171269","bolso257","Mito🇧🇷",24000,9422,59,NA,"#voltabolsonaro #brasil #presidente #bolsonaro #bolsonaro2026 #direita #lulaladrao #7desetembro",2025-01-11 13:48:01,1736603281,"no","no","LULA É BANDIDO","7377177305368873733","https://v77.tiktokcdn.com/07d2b22d24880bdf1ac89859bc3fc748/67d039a0/video/tos/useast2a/tos-useast2a-v-27dcd7/osIBIAFAmfEgJGDZSFDEf5s6EerQxEAAkZf7E3/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=.NpOcInz7ThVn7OOXq8Zmo&mime_type=audio_mpeg&qs=13&rc=M3Y7cW85cmZpczMzNzU8M0BpM3Y7cW85cmZpczMzNzU8M0BlbTVoMmRjc2RgLS1kMTZzYSNlbTVoMmRjc2RgLS1kMTZzcw%3D%3D&vvpl=1&l=20250310132340617B8B35F9FCDB0F69A4&btag=e00050000&cc=13&download=true","https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/36e86a03ebc5ed650bd827ce44d42e7e~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=72dbfc60&x-expires=1741784400&x-signature=tGQoUZ%2Bbc6ecMP%2BdMjiULVfA9QE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=b59d6b55&idc=maliva","O GIGANTE ACORDOU 🇧🇷","https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c002/oUfP0xjEIKDBWEBEqfFseQRvCcNWIgCnOUgSsA/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=3270&bt=1635&cs=0&ds=3&ft=4fUEKMXh8Zmo0C8mbb4jVsE_JpWrKsd.&mime_type=video_mp4&qs=0&rc=NmhkNjgzOGc0Zjk7OTY0O0BpM2RnNW05cjo6eDMzNzczM0A0YDBjM14vNmIxYi9eLTQvYSM0ZW1vMmRrXy5gLS1kMTZzcw%3D%3D&btag=e00088000&expire=1741785855&l=20250310132340617B8B35F9FCDB0F69A4&ply_type=2&policy=2&signature=0b73b073611e67c9b608908c6199e5cd&tk=tt_chain_token","https://www.tiktok.com/@bolso257/video/7458654266048171269","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/occjnBEsWpsfGESSIWse7AgIDfA9FCDUxCVPOQ?lk3s=b59d6b55&x-expires=1741784400&x-signature=nwLAHWXbAus06OI4T89h4vXFWyw%3D&shp=b59d6b55&shcp=-",75200,2409,4385,645600,"voltabolsonaro,brasil,presidente,bolsonaro,bolsonaro2026,direita,lulaladrao,7desetembro","voltabolsonaro,brasil,presidente,bolsonaro,bolsonaro2026,direita,lulaladrao,7desetembro",NA,NA,"Ano que vem é Bolsonarooooo 🇧🇷🇧🇷🇧🇷 #vem2026",NA,"As ações neste vídeo foram realizadas ou supervisionadas. Não tente realizá-las."
"7","7166109688310893830","7166109688310893830","jonatas40_","Jônatas Ferro",9630,171,7,NA,"Mais nunca teremos um 7 de setembro igual esse com nosso presidente @bolsonaromessiasjair 🔰🇧🇷 #Bolsonaro #7desetembro #brasil #patriaamadabrasil",2022-11-15 05:25:42,1668489942,"no","no","ENTÃO EU ME LEVANTO LEVO MEU POVO COMIGO BRASIL","7163592496570697729",NA,"https://p16-sign-va.tiktokcdn.com/tos-useast2a-v-2774/7da5ba84784a422dba479717ac2c2f7c~c5_720x720.jpeg?lk3s=08d74b56&x-expires=1741634622&x-signature=D9EeKAmbMrLme%2FgSEO0F24ZhgoY%3D","Áudio original","https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c004/ba039f0870aa4d7bbcfc4ec4da45140f/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=6966&bt=3483&cs=0&ds=3&ft=4fUEKMXh8Zmo0C8mbb4jVsE_JpWrKsd.&mime_type=video_mp4&qs=0&rc=ZTg2OzhlZWQ8OmdkOmRnOEBpanF3b2g6ZnVrZzMzNzczM0BhYjJgMTEyNjIxYDQ2MGAwYSNjam5qcjRfam1gLS1kMTZzcw%3D%3D&btag=e00088000&expire=1741785865&l=20250310132340617B8B35F9FCDB0F69A4&ply_type=2&policy=2&signature=4b54dc9fe7992d0e4f5e0d5d6a12b30c&tk=tt_chain_token","https://www.tiktok.com/@jonatas40_/video/7166109688310893830","https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/2486ef0bccec41f58f5a2c03e3567de6_1668489949?lk3s=b59d6b55&x-expires=1741784400&x-signature=GaXtZRjcQ4EhS5e0ol5D3nXTfqg%3D&shp=b59d6b55&shcp=-",118900,4724,7494,2400000,"bolsonaro,7desetembro,brasil,patriaamadabrasil","bolsonaro,7desetembro,brasil,patriaamadabrasil",NA,NA,"Nosso eterno presidente 🔰🇧🇷",NA,NA
"8","7276128197509467398","7276128197509467398","mnrb2023","MNRB",4085,6786,36,NA,"Em 2022 tivemos um, senão o único, 7 de setembro mais movimentado desde a volta da Democracia ao Brasil. #nacionalismo #patriota #7desetembro #brasil #independencia #manifestacao #bolsonaro #presidente #anticomunista #militar #desfile #edit",2023-09-07 16:53:44,1694105624,"no","no","original sound - MNRB","7276128278635465478","https://v77.tiktokcdn.com/e830af72dca775406883728c4c383b5c/67d03982/video/tos/useast2a/tos-useast2a-v-27dcd7/ostcAQNJfBBfPqCEAElAEACuqoAQBkwIzUJ6hD/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=.NpOcInz7Thmn7OOXq8Zmo&mime_type=audio_mpeg&qs=13&rc=M2R4NTc6ZjkzbTMzNzU8M0BpM2R4NTc6ZjkzbTMzNzU8M0AuXy5ocjRvLXFgLS1kMTZzYSMuXy5ocjRvLXFgLS1kMTZzcw%3D%3D&vvpl=1&l=20250310132344AECD5A485494A10F7579&btag=e00048000&cc=13&download=true","https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f3d7d93dd4a3d758f4467e732945b580~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=c1498e99&x-expires=1741784400&x-signature=bWVCCi3wlF6XkSP7ZPFJUd%2Fzj50%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=b59d6b55&idc=maliva","MNRB","https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c004/osJ8LQBXIefmCiWEQBPDCCACgreU3SbJkgLn9D/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=3534&bt=1767&cs=0&ds=3&ft=4fUEKMXh8Zmo098mbb4jVCPxJpWrKsd.&mime_type=video_mp4&qs=0&rc=O2dmaTQzOWdmZjhnOzg2NEBpajNxazs6Zmp5bTMzNzgzM0AxLjFhLy4zXi0xLS1gXzUzYSNtLzEycjRfcnBgLS1kLzZzcw%3D%3D&btag=e00088000&expire=1741785858&l=20250310132344AECD5A485494A10F7579&ply_type=2&policy=2&signature=5261859f021c9329c46bcc42697b1dee&tk=tt_chain_token","https://www.tiktok.com/@mnrb2023/video/7276128197509467398","https://p77-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/ce97883f66a84774b8519dbb65da24c9_1694105625?lk3s=b59d6b55&x-expires=1741784400&x-signature=fI3%2FDu%2FYziChLaPZluB2qpvBMPc%3D&shp=b59d6b55&shcp=-",35000,275,1539,515600,"nacionalismo,patriota,7desetembro,brasil,independencia,manifestacao,bolsonaro,presidente,anticomunista,militar,desfile,edit","nacionalismo,patriota,7desetembro,brasil,independencia,manifestacao,bolsonaro,presidente,anticomunista,militar,desfile,edit",NA,NA,NA,NA,NA
"9","7457735569917988102","7457735569917988102","karlaandreia28","Karla Andreia",13400,32200,469,NA,"#mito #bolsonaro #bolsonaropresidente #fypp #fyp #fyppppppppppppppppppppppp @BolsonaroMessiasJair",2025-01-09 02:23:04,1736389384,"no","no","The Best","6709831346866358273","https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/o8J40iAsoByVpKW3Gw1TB297IfPtz4Ai9EMUIO","https://p77-va.tiktokcdn.com/img/tos-useast2a-v-2774/owEuoZBlCSJD2F9N7fBDYgAtQFBfCKCAqEAvEQ~c5_720x720.jpeg","Tina Turner","https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c003/oEpzA8HTMFrdWfwRLfQWm8gwfEkRYQeAbNGvTA/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C&cv=1&br=2524&bt=1262&cs=0&ds=3&ft=4fUEKMXh8Zmo098mbb4jVCPxJpWrKsd.&mime_type=video_mp4&qs=0&rc=Zzs1aGc7ZDg1ZmU2ZDgzOUBpMzRyam05cnNtdzMzNzczM0BgLWM0LmAvX2IxMS8wMl42YSNuY2dhMmRjMXNgLS1kMTZzcw%3D%3D&btag=e00090000&expire=1741785890&l=20250310132344AECD5A485494A10F7579&ply_type=2&policy=2&signature=3b3fe14bb3cc515ab8954252cadb3881&tk=tt_chain_token","https://www.tiktok.com/@karlaandreia28/video/7457735569917988102","https://p77-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/okQGbfQXwQYaVekiRTTLZmAgM8AfWFNHeEBdmg?lk3s=b59d6b55&x-expires=1741784400&x-signature=q9vxkIF8izADwoCy%2Fwxxc0LtfX4%3D&shp=b59d6b55&shcp=-",89000,13300,6070,681300,"mito,bolsonaro,bolsonaropresidente,fypp,fyp,fyppppppppppppppppppppppp","mito,bolsonaro,bolsonaropresidente,fypp,fyp,fyppppppppppppppppppppppp",NA,NA,"Nosso Presidente 
Vitória ES",NA,NA
"10","7405685341887171846","7405685341887171846","openmindlite","IdéiasOcultas♾️",7814,1742,105,NA,"Jair Messias Bolsonaro #presidente #presidentebolsonaro #mito #foryou #cortesvirais #CapCut",2024-08-21 20:01:32,1724270492,"no","no","Edit Phonk (Slowed)","7192634636336367618","https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/oUdtZm1pbVeEtWIFBCM9U2nfYTvgaFIDO4QBZV","https://p77-va.tiktokcdn.com/img/tos-useast2a-v-2774/oUCBszDkFAr5vi85AZIoCBetO4sEEQAfgmITJE~c5_720x720.jpeg","Bgnzinho",NA,"https://www.tiktok.com/@openmindlite/video/7405685341887171846","https://p77-sign-va.tiktokcdn.com/tos-maliva-p-0068/oEM1FQXDzgHjnXmI8Se888TmefFwCjg3ZNQIAC~tplv-dmt-logom:tos-useast2a-v-0068/okQVGEsGHVAABIwUoovBZRADEiUDGiAEWiZi3.image?lk3s=b59d6b55&x-expires=1741784400&x-signature=lSiPmGegftzITn5SaYjk2I5NlCc%3D&shp=b59d6b55&shcp=-",68,2,0,439,"presidente,presidentebolsonaro,mito,foryou,cortesvirais,capcut","presidente,presidentebolsonaro,mito,foryou,cortesvirais,capcut",NA,NA,"melhores Mitadas de Bolsonaro 🇧🇷
""Me chamam de Mito!""
Bolsonaro.✅🇧🇷🙅🏻‍♂️👏👏",NA,NA
